Snarl	P_value
['5103974_5103972', ['>5103974>5103972']]	">5103974>5103972   NaN
dtype: float64"
['5103974_5103972', ['>5103974>5103973>5103972']]	">5103974>5103973>5103972   NaN
dtype: float64"
['5103972_5103969', ['>5103972>5103970>5103969']]	">5103972>5103970>5103969   NaN
dtype: float64"
['5103972_5103969', ['>5103972>5103971>5103969']]	">5103972>5103971>5103969   NaN
dtype: float64"
['5103969_5103966', ['>5103969>5103967>5103966']]	">5103969>5103967>5103966   NaN
dtype: float64"
['5103969_5103966', ['>5103969>5103968>5103966']]	">5103969>5103968>5103966   NaN
dtype: float64"
['5103966_5103963', ['>5103966>5103963']]	">5103966>5103963   NaN
dtype: float64"
['5103966_5103963', ['>5103966>5103965>5103963']]	">5103966>5103965>5103963   NaN
dtype: float64"
['5103966_5103963', ['>5103966>5103965>5103964>5103963']]	">5103966>5103965>5103964>5103963   NaN
dtype: float64"
['5103963_5103961', ['>5103963>5103961']]	">5103963>5103961   NaN
dtype: float64"
['5103963_5103961', ['>5103963>5103962>5103961']]	">5103963>5103962>5103961   NaN
dtype: float64"
['5103961_5103959', ['>5103961>5103959']]	">5103961>5103959   NaN
dtype: float64"
['5103961_5103959', ['>5103961>5103960>5103959']]	">5103961>5103960>5103959   NaN
dtype: float64"
['5103959_5103956', ['>5103959>5103957>5103956']]	">5103959>5103957>5103956   NaN
dtype: float64"
['5103959_5103956', ['>5103959>5103958>5103956']]	">5103959>5103958>5103956   NaN
dtype: float64"
['5103956_5103954', ['>5103956>5103954']]	">5103956>5103954   NaN
dtype: float64"
['5103956_5103954', ['>5103956>5103955>5103954']]	">5103956>5103955>5103954   NaN
dtype: float64"
['5103954_5103951', ['>5103954>5103952>5103951']]	">5103954>5103952>5103951   NaN
dtype: float64"
['5103954_5103951', ['>5103954>5103953>5103951']]	">5103954>5103953>5103951   NaN
dtype: float64"
['5103951_5103949', ['>5103951>5103949']]	">5103951>5103949   NaN
dtype: float64"
['5103951_5103949', ['>5103951>5103950>5103949']]	">5103951>5103950>5103949   NaN
dtype: float64"
['5103949_5103946', ['>5103949>5103947>5103946']]	">5103949>5103947>5103946   NaN
dtype: float64"
['5103949_5103946', ['>5103949>5103948>5103946']]	">5103949>5103948>5103946   NaN
dtype: float64"
['5103946_5103943', ['>5103946>5103944>5103943']]	">5103946>5103944>5103943   NaN
dtype: float64"
['5103946_5103943', ['>5103946>5103945>5103943']]	">5103946>5103945>5103943   NaN
dtype: float64"
['5103943_5103940', ['>5103943>5103941>5103940']]	">5103943>5103941>5103940   NaN
dtype: float64"
['5103943_5103940', ['>5103943>5103942>5103940']]	">5103943>5103942>5103940   NaN
dtype: float64"
['5103940_5103937', ['>5103940>5103938>5103937']]	">5103940>5103938>5103937   NaN
dtype: float64"
['5103940_5103937', ['>5103940>5103939>5103937']]	">5103940>5103939>5103937   NaN
dtype: float64"
['5103937_5103934', ['>5103937>5103935>5103934']]	">5103937>5103935>5103934   NaN
dtype: float64"
['5103937_5103934', ['>5103937>5103936>5103934']]	">5103937>5103936>5103934   NaN
dtype: float64"
['5103934_5103932', ['>5103934>5103932']]	">5103934>5103932   NaN
dtype: float64"
['5103934_5103932', ['>5103934>5103933>5103932']]	">5103934>5103933>5103932   NaN
dtype: float64"
['5103932_5103930', ['>5103932>5103930']]	">5103932>5103930   NaN
dtype: float64"
['5103932_5103930', ['>5103932>5103931>5103930']]	">5103932>5103931>5103930   NaN
dtype: float64"
['5103930_5103928', ['>5103930>5103928']]	">5103930>5103928   NaN
dtype: float64"
['5103930_5103928', ['>5103930>5103929>5103928']]	">5103930>5103929>5103928   NaN
dtype: float64"
['5103928_5103923', ['>5103928>5103923']]	">5103928>5103923   NaN
dtype: float64"
['5103928_5103923', ['>5103928>5103927>*>5103924>5103923']]	">5103928>5103927>*>5103924>5103923   NaN
dtype: float64"
['5103927_5103924', ['>5103927>5103925>5103924']]	">5103927>5103925>5103924   NaN
dtype: float64"
['5103927_5103924', ['>5103927>5103926>5103924']]	">5103927>5103926>5103924   NaN
dtype: float64"
['5103923_5103921', ['>5103923>5103921']]	">5103923>5103921   NaN
dtype: float64"
['5103923_5103921', ['>5103923>5103922>5103921']]	">5103923>5103922>5103921   NaN
dtype: float64"
['5103921_5103918', ['>5103921>5103919>5103918']]	">5103921>5103919>5103918   NaN
dtype: float64"
['5103921_5103918', ['>5103921>5103920>5103918']]	">5103921>5103920>5103918   NaN
dtype: float64"
['5103918_5103916', ['>5103918>5103916']]	">5103918>5103916   NaN
dtype: float64"
['5103918_5103916', ['>5103918>5103917>5103916']]	">5103918>5103917>5103916   NaN
dtype: float64"
['5103916_5103913', ['>5103916>5103914>5103913']]	">5103916>5103914>5103913   NaN
dtype: float64"
['5103916_5103913', ['>5103916>5103915>5103913']]	">5103916>5103915>5103913   NaN
dtype: float64"
['5103913_5103910', ['>5103913>5103911>5103910']]	">5103913>5103911>5103910   NaN
dtype: float64"
['5103913_5103910', ['>5103913>5103912>5103910']]	">5103913>5103912>5103910   NaN
dtype: float64"
['5103910_5103907', ['>5103910>5103908>5103907']]	">5103910>5103908>5103907   NaN
dtype: float64"
['5103910_5103907', ['>5103910>5103909>5103907']]	">5103910>5103909>5103907   NaN
dtype: float64"
['5103907_5103904', ['>5103907>5103905>5103904']]	">5103907>5103905>5103904   NaN
dtype: float64"
['5103907_5103904', ['>5103907>5103906>5103904']]	">5103907>5103906>5103904   NaN
dtype: float64"
['5103904_5103901', ['>5103904>5103902>5103901']]	">5103904>5103902>5103901   NaN
dtype: float64"
['5103904_5103901', ['>5103904>5103903>5103901']]	">5103904>5103903>5103901   NaN
dtype: float64"
['5103901_5103899', ['>5103901>5103899']]	">5103901>5103899   NaN
dtype: float64"
['5103901_5103899', ['>5103901>5103900>5103899']]	">5103901>5103900>5103899   NaN
dtype: float64"
['5103899_5103896', ['>5103899>5103897>5103896']]	">5103899>5103897>5103896   NaN
dtype: float64"
['5103899_5103896', ['>5103899>5103898>5103896']]	">5103899>5103898>5103896   NaN
dtype: float64"
['5103896_5103893', ['>5103896>5103894>5103893']]	">5103896>5103894>5103893   NaN
dtype: float64"
['5103896_5103893', ['>5103896>5103895>5103893']]	">5103896>5103895>5103893   NaN
dtype: float64"
['5103893_5103890', ['>5103893>5103891>5103890']]	">5103893>5103891>5103890   NaN
dtype: float64"
['5103893_5103890', ['>5103893>5103892>5103890']]	">5103893>5103892>5103890   NaN
dtype: float64"
['5103890_5103887', ['>5103890>5103887']]	">5103890>5103887   NaN
dtype: float64"
['5103890_5103887', ['>5103890>5103889>5103887']]	">5103890>5103889>5103887   NaN
dtype: float64"
['5103890_5103887', ['>5103890>5103889>5103888>5103887']]	">5103890>5103889>5103888>5103887   NaN
dtype: float64"
['5103887_5103884', ['>5103887>5103885>5103884']]	">5103887>5103885>5103884   NaN
dtype: float64"
['5103887_5103884', ['>5103887>5103886>5103884']]	">5103887>5103886>5103884   NaN
dtype: float64"
['5103884_5103882', ['>5103884>5103882']]	">5103884>5103882   NaN
dtype: float64"
['5103884_5103882', ['>5103884>5103883>5103882']]	">5103884>5103883>5103882   NaN
dtype: float64"
['5103882_5103879', ['>5103882>5103880>5103879']]	">5103882>5103880>5103879   NaN
dtype: float64"
['5103882_5103879', ['>5103882>5103881>5103879']]	">5103882>5103881>5103879   NaN
dtype: float64"
['5103879_5103877', ['>5103879>5103877']]	">5103879>5103877   NaN
dtype: float64"
['5103879_5103877', ['>5103879>5103878>5103877']]	">5103879>5103878>5103877   NaN
dtype: float64"
['5103877_5103874', ['>5103877>5103875>5103874']]	">5103877>5103875>5103874   NaN
dtype: float64"
['5103877_5103874', ['>5103877>5103876>5103874']]	">5103877>5103876>5103874   NaN
dtype: float64"
['5103874_5103871', ['>5103874>5103872>5103871']]	">5103874>5103872>5103871   NaN
dtype: float64"
['5103874_5103871', ['>5103874>5103873>5103871']]	">5103874>5103873>5103871   NaN
dtype: float64"
['5103871_5103868', ['>5103871>5103869>5103868']]	">5103871>5103869>5103868   NaN
dtype: float64"
['5103871_5103868', ['>5103871>5103870>5103868']]	">5103871>5103870>5103868   NaN
dtype: float64"
['5103868_5103866', ['>5103868>5103866']]	">5103868>5103866   NaN
dtype: float64"
['5103868_5103866', ['>5103868>5103867>5103866']]	">5103868>5103867>5103866   NaN
dtype: float64"
['5103866_5103863', ['>5103866>5103864>5103863']]	">5103866>5103864>5103863   NaN
dtype: float64"
['5103866_5103863', ['>5103866>5103865>5103863']]	">5103866>5103865>5103863   NaN
dtype: float64"
['5103863_5103860', ['>5103863>5103861>5103860']]	">5103863>5103861>5103860   NaN
dtype: float64"
['5103863_5103860', ['>5103863>5103862>5103860']]	">5103863>5103862>5103860   NaN
dtype: float64"
['5103860_5103857', ['>5103860>5103858>5103857']]	">5103860>5103858>5103857   NaN
dtype: float64"
['5103860_5103857', ['>5103860>5103859>5103857']]	">5103860>5103859>5103857   NaN
dtype: float64"
['5103857_5103854', ['>5103857>5103855>5103854']]	">5103857>5103855>5103854   NaN
dtype: float64"
['5103857_5103854', ['>5103857>5103856>5103854']]	">5103857>5103856>5103854   NaN
dtype: float64"
['5103854_5103851', ['>5103854>5103852>5103851']]	">5103854>5103852>5103851   NaN
dtype: float64"
['5103854_5103851', ['>5103854>5103853>5103851']]	">5103854>5103853>5103851   NaN
dtype: float64"
['5103851_5103848', ['>5103851>5103849>5103848']]	">5103851>5103849>5103848   NaN
dtype: float64"
['5103851_5103848', ['>5103851>5103850>5103848']]	">5103851>5103850>5103848   NaN
dtype: float64"
['5103848_5103840', ['>5103848>5103840']]	">5103848>5103840   NaN
dtype: float64"
['5103848_5103840', ['>5103848>5103841>*>5103847>5103840']]	">5103848>5103841>*>5103847>5103840   NaN
dtype: float64"
['5103840_5103837', ['>5103840>5103838>5103837']]	">5103840>5103838>5103837   NaN
dtype: float64"
['5103840_5103837', ['>5103840>5103839>5103837']]	">5103840>5103839>5103837   NaN
dtype: float64"
['5103837_5103785', ['>5103837>5103785']]	">5103837>5103785   NaN
dtype: float64"
['5103837_5103785', ['>5103837>5103836>*>5103786>5103785']]	">5103837>5103836>*>5103786>5103785   NaN
dtype: float64"
['5103836_5103833', ['>5103836>5103834>5103833']]	">5103836>5103834>5103833   NaN
dtype: float64"
['5103836_5103833', ['>5103836>5103835>5103833']]	">5103836>5103835>5103833   NaN
dtype: float64"
['5103833_5103830', ['>5103833>5103831>5103830']]	">5103833>5103831>5103830   NaN
dtype: float64"
['5103833_5103830', ['>5103833>5103832>5103830']]	">5103833>5103832>5103830   NaN
dtype: float64"
['5103830_5103827', ['>5103830>5103828>5103827']]	">5103830>5103828>5103827   NaN
dtype: float64"
['5103830_5103827', ['>5103830>5103829>5103827']]	">5103830>5103829>5103827   NaN
dtype: float64"
['5103827_5103824', ['>5103827>5103825>5103824']]	">5103827>5103825>5103824   NaN
dtype: float64"
['5103827_5103824', ['>5103827>5103826>5103824']]	">5103827>5103826>5103824   NaN
dtype: float64"
['5103824_5103821', ['>5103824>5103822>5103821']]	">5103824>5103822>5103821   NaN
dtype: float64"
['5103824_5103821', ['>5103824>5103823>5103821']]	">5103824>5103823>5103821   NaN
dtype: float64"
['5103821_5103818', ['>5103821>5103819>5103818']]	">5103821>5103819>5103818   NaN
dtype: float64"
['5103821_5103818', ['>5103821>5103820>5103818']]	">5103821>5103820>5103818   NaN
dtype: float64"
['5103818_5103816', ['>5103818>5103816']]	">5103818>5103816   NaN
dtype: float64"
['5103818_5103816', ['>5103818>5103817>5103816']]	">5103818>5103817>5103816   NaN
dtype: float64"
['5103816_5103814', ['>5103816>5103814']]	">5103816>5103814   NaN
dtype: float64"
['5103816_5103814', ['>5103816>5103815>5103814']]	">5103816>5103815>5103814   NaN
dtype: float64"
['5103814_5103811', ['>5103814>5103812>5103811']]	">5103814>5103812>5103811   NaN
dtype: float64"
['5103814_5103811', ['>5103814>5103813>5103811']]	">5103814>5103813>5103811   NaN
dtype: float64"
['5103811_5103808', ['>5103811>5103809>5103808']]	">5103811>5103809>5103808   NaN
dtype: float64"
['5103811_5103808', ['>5103811>5103810>5103808']]	">5103811>5103810>5103808   NaN
dtype: float64"
['5103808_5103805', ['>5103808>5103805']]	">5103808>5103805   NaN
dtype: float64"
['5103808_5103805', ['>5103808>5103806>5103805']]	">5103808>5103806>5103805   NaN
dtype: float64"
['5103808_5103805', ['>5103808>5103807>5103806>5103805']]	">5103808>5103807>5103806>5103805   NaN
dtype: float64"
['5103805_5103802', ['>5103805>5103803>5103802']]	">5103805>5103803>5103802   NaN
dtype: float64"
['5103805_5103802', ['>5103805>5103804>5103802']]	">5103805>5103804>5103802   NaN
dtype: float64"
['5103802_5103800', ['>5103802>5103800']]	">5103802>5103800   NaN
dtype: float64"
['5103802_5103800', ['>5103802>5103801>5103800']]	">5103802>5103801>5103800   NaN
dtype: float64"
['5103800_5103797', ['>5103800>5103798>5103797']]	">5103800>5103798>5103797   NaN
dtype: float64"
['5103800_5103797', ['>5103800>5103799>5103797']]	">5103800>5103799>5103797   NaN
dtype: float64"
['5103797_5103795', ['>5103797>5103795']]	">5103797>5103795   NaN
dtype: float64"
['5103797_5103795', ['>5103797>5103796>5103795']]	">5103797>5103796>5103795   NaN
dtype: float64"
['5103795_5103792', ['>5103795>5103793>5103792']]	">5103795>5103793>5103792   NaN
dtype: float64"
['5103795_5103792', ['>5103795>5103794>5103792']]	">5103795>5103794>5103792   NaN
dtype: float64"
['5103792_5103789', ['>5103792>5103790>5103789']]	">5103792>5103790>5103789   NaN
dtype: float64"
['5103792_5103789', ['>5103792>5103791>5103789']]	">5103792>5103791>5103789   NaN
dtype: float64"
['5103789_5103786', ['>5103789>5103787>5103786']]	">5103789>5103787>5103786   NaN
dtype: float64"
['5103789_5103786', ['>5103789>5103788>5103786']]	">5103789>5103788>5103786   NaN
dtype: float64"
['5103785_5103782', ['>5103785>5103783>5103782']]	">5103785>5103783>5103782   NaN
dtype: float64"
['5103785_5103782', ['>5103785>5103784>5103782']]	">5103785>5103784>5103782   NaN
dtype: float64"
['5103782_5103779', ['>5103782>5103780>5103779']]	">5103782>5103780>5103779   NaN
dtype: float64"
['5103782_5103779', ['>5103782>5103781>5103779']]	">5103782>5103781>5103779   NaN
dtype: float64"
['5103779_5103776', ['>5103779>5103777>5103776']]	">5103779>5103777>5103776   NaN
dtype: float64"
['5103779_5103776', ['>5103779>5103778>5103776']]	">5103779>5103778>5103776   NaN
dtype: float64"
['5103776_5103773', ['>5103776>5103774>5103773']]	">5103776>5103774>5103773   NaN
dtype: float64"
['5103776_5103773', ['>5103776>5103775>5103773']]	">5103776>5103775>5103773   NaN
dtype: float64"
['5103559_5103561', ['>5103561>5103559']]	">5103561>5103559   NaN
dtype: float64"
['5103559_5103561', ['>5103561>5103560>5103559']]	">5103561>5103560>5103559   NaN
dtype: float64"
['5103561_5103564', ['>5103564>5103562>5103561']]	">5103564>5103562>5103561   NaN
dtype: float64"
['5103561_5103564', ['>5103564>5103563>5103561']]	">5103564>5103563>5103561   NaN
dtype: float64"
['5103564_5103567', ['>5103567>5103565>5103564']]	">5103567>5103565>5103564   NaN
dtype: float64"
['5103564_5103567', ['>5103567>5103566>5103564']]	">5103567>5103566>5103564   NaN
dtype: float64"
['5103567_5103570', ['>5103570>5103568>5103567']]	">5103570>5103568>5103567   NaN
dtype: float64"
['5103567_5103570', ['>5103570>5103569>5103567']]	">5103570>5103569>5103567   NaN
dtype: float64"
['5103571_5103574', ['>5103574>5103572>5103571']]	">5103574>5103572>5103571   NaN
dtype: float64"
['5103571_5103574', ['>5103574>5103573>5103571']]	">5103574>5103573>5103571   NaN
dtype: float64"
['5103574_5103577', ['>5103577>5103575>5103574']]	">5103577>5103575>5103574   NaN
dtype: float64"
['5103574_5103577', ['>5103577>5103576>5103574']]	">5103577>5103576>5103574   NaN
dtype: float64"
['5103577_5103579', ['>5103579>5103577']]	">5103579>5103577   NaN
dtype: float64"
['5103577_5103579', ['>5103579>5103578>5103577']]	">5103579>5103578>5103577   NaN
dtype: float64"
['5103579_5103581', ['>5103581>5103579']]	">5103581>5103579   NaN
dtype: float64"
['5103579_5103581', ['>5103581>5103580>5103579']]	">5103581>5103580>5103579   NaN
dtype: float64"
['5103581_5103584', ['>5103584>5103582>5103581']]	">5103584>5103582>5103581   NaN
dtype: float64"
['5103581_5103584', ['>5103584>5103583>5103581']]	">5103584>5103583>5103581   NaN
dtype: float64"
['5103586_5103589', ['>5103589>5103587>5103586']]	">5103589>5103587>5103586   NaN
dtype: float64"
['5103586_5103589', ['>5103589>5103588>5103586']]	">5103589>5103588>5103586   NaN
dtype: float64"
['5103589_5103592', ['>5103592>5103590>5103589']]	">5103592>5103590>5103589   NaN
dtype: float64"
['5103589_5103592', ['>5103592>5103591>5103589']]	">5103592>5103591>5103589   NaN
dtype: float64"
['5103592_5103595', ['>5103595>5103593>5103592']]	">5103595>5103593>5103592   NaN
dtype: float64"
['5103592_5103595', ['>5103595>5103594>5103592']]	">5103595>5103594>5103592   NaN
dtype: float64"
['5103595_5103598', ['>5103598>5103596>5103595']]	">5103598>5103596>5103595   NaN
dtype: float64"
['5103595_5103598', ['>5103598>5103597>5103595']]	">5103598>5103597>5103595   NaN
dtype: float64"
['5103598_5103600', ['>5103600>5103598']]	">5103600>5103598   NaN
dtype: float64"
['5103598_5103600', ['>5103600>5103599>5103598']]	">5103600>5103599>5103598   NaN
dtype: float64"
['5103600_5103603', ['>5103603>5103601>5103600']]	">5103603>5103601>5103600   NaN
dtype: float64"
['5103600_5103603', ['>5103603>5103602>5103600']]	">5103603>5103602>5103600   NaN
dtype: float64"
['5103605_5103608', ['>5103608>5103606>5103605']]	">5103608>5103606>5103605   NaN
dtype: float64"
['5103605_5103608', ['>5103608>5103607>5103605']]	">5103608>5103607>5103605   NaN
dtype: float64"
['5103610_5103612', ['>5103612>5103610']]	">5103612>5103610   NaN
dtype: float64"
['5103610_5103612', ['>5103612>5103611>5103610']]	">5103612>5103611>5103610   NaN
dtype: float64"
['5103612_5103615', ['>5103615>5103613>5103612']]	">5103615>5103613>5103612   NaN
dtype: float64"
['5103612_5103615', ['>5103615>5103614>5103612']]	">5103615>5103614>5103612   NaN
dtype: float64"
['5103615_5103618', ['>5103618>5103616>5103615']]	">5103618>5103616>5103615   NaN
dtype: float64"
['5103615_5103618', ['>5103618>5103617>5103615']]	">5103618>5103617>5103615   NaN
dtype: float64"
['5103618_5103620', ['>5103620>5103618']]	">5103620>5103618   NaN
dtype: float64"
['5103618_5103620', ['>5103620>5103619>5103618']]	">5103620>5103619>5103618   NaN
dtype: float64"
['5103620_5103622', ['>5103622>5103620']]	">5103622>5103620   NaN
dtype: float64"
['5103620_5103622', ['>5103622>5103621>5103620']]	">5103622>5103621>5103620   NaN
dtype: float64"
['5103625_5103627', ['>5103627>5103625']]	">5103627>5103625   NaN
dtype: float64"
['5103625_5103627', ['>5103627>5103626>5103625']]	">5103627>5103626>5103625   NaN
dtype: float64"
['5103627_5103630', ['>5103630>5103628>5103627']]	">5103630>5103628>5103627   NaN
dtype: float64"
['5103627_5103630', ['>5103630>5103629>5103627']]	">5103630>5103629>5103627   NaN
dtype: float64"
['5104261_5104258', ['>5104261>5104259>5104258']]	">5104261>5104259>5104258   NaN
dtype: float64"
['5104261_5104258', ['>5104261>5104260>5104258']]	">5104261>5104260>5104258   NaN
dtype: float64"
['5104258_5104256', ['>5104258>5104256']]	">5104258>5104256   NaN
dtype: float64"
['5104258_5104256', ['>5104258>5104257>5104256']]	">5104258>5104257>5104256   NaN
dtype: float64"
['5104256_5104253', ['>5104256>5104254>5104253']]	">5104256>5104254>5104253   NaN
dtype: float64"
['5104256_5104253', ['>5104256>5104255>5104253']]	">5104256>5104255>5104253   NaN
dtype: float64"
['5104253_5104251', ['>5104253>5104251']]	">5104253>5104251   NaN
dtype: float64"
['5104253_5104251', ['>5104253>5104252>5104251']]	">5104253>5104252>5104251   NaN
dtype: float64"
['5104251_5104213', ['>5104251>5104214>5104213']]	">5104251>5104214>5104213   NaN
dtype: float64"
['5104251_5104213', ['>5104251>5104250>5104213']]	">5104251>5104250>5104213   NaN
dtype: float64"
['5104213_5104211', ['>5104213>5104211']]	">5104213>5104211   NaN
dtype: float64"
['5104213_5104211', ['>5104213>5104212>5104211']]	">5104213>5104212>5104211   NaN
dtype: float64"
['5104661_5104663', ['>5104663>5104661']]	">5104663>5104661   NaN
dtype: float64"
['5104661_5104663', ['>5104663>5104662>5104661']]	">5104663>5104662>5104661   NaN
dtype: float64"
['5104663_5104666', ['>5104666>5104664>5104663']]	">5104666>5104664>5104663   NaN
dtype: float64"
['5104663_5104666', ['>5104666>5104665>5104663']]	">5104666>5104665>5104663   NaN
dtype: float64"
['5104666_5104668', ['>5104668>5104666']]	">5104668>5104666   NaN
dtype: float64"
['5104666_5104668', ['>5104668>5104667>5104666']]	">5104668>5104667>5104666   NaN
dtype: float64"
['5104668_5104670', ['>5104670>5104668']]	">5104670>5104668   NaN
dtype: float64"
['5104668_5104670', ['>5104670>5104669>5104668']]	">5104670>5104669>5104668   NaN
dtype: float64"
['5104670_5104672', ['>5104672>5104670']]	">5104672>5104670   NaN
dtype: float64"
['5104670_5104672', ['>5104672>5104671>5104670']]	">5104672>5104671>5104670   NaN
dtype: float64"
['5104672_5104674', ['>5104674>5104672']]	">5104674>5104672   NaN
dtype: float64"
['5104672_5104674', ['>5104674>5104673>5104672']]	">5104674>5104673>5104672   NaN
dtype: float64"
['5104674_5104676', ['>5104676>5104674']]	">5104676>5104674   NaN
dtype: float64"
['5104674_5104676', ['>5104676>5104675>5104674']]	">5104676>5104675>5104674   NaN
dtype: float64"
['5104676_5104678', ['>5104678>5104676']]	">5104678>5104676   NaN
dtype: float64"
['5104676_5104678', ['>5104678>5104677>5104676']]	">5104678>5104677>5104676   NaN
dtype: float64"
['5104678_5104680', ['>5104680>5104678']]	">5104680>5104678   NaN
dtype: float64"
['5104678_5104680', ['>5104680>5104679>5104678']]	">5104680>5104679>5104678   NaN
dtype: float64"
['5104680_5104682', ['>5104682>5104680']]	">5104682>5104680   NaN
dtype: float64"
['5104680_5104682', ['>5104682>5104681>5104680']]	">5104682>5104681>5104680   NaN
dtype: float64"
['5104682_5104684', ['>5104684>5104682']]	">5104684>5104682   NaN
dtype: float64"
['5104682_5104684', ['>5104684>5104683>5104682']]	">5104684>5104683>5104682   NaN
dtype: float64"
['5104684_5104686', ['>5104686>5104684']]	">5104686>5104684   NaN
dtype: float64"
['5104684_5104686', ['>5104686>5104685>5104684']]	">5104686>5104685>5104684   NaN
dtype: float64"
['5104686_5104688', ['>5104688>5104686']]	">5104688>5104686   NaN
dtype: float64"
['5104686_5104688', ['>5104688>5104687>5104686']]	">5104688>5104687>5104686   NaN
dtype: float64"
['5104688_5104690', ['>5104690>5104688']]	">5104690>5104688   NaN
dtype: float64"
['5104688_5104690', ['>5104690>5104689>5104688']]	">5104690>5104689>5104688   NaN
dtype: float64"
['5104690_5104692', ['>5104692>5104690']]	">5104692>5104690   NaN
dtype: float64"
['5104690_5104692', ['>5104692>5104691>5104690']]	">5104692>5104691>5104690   NaN
dtype: float64"
['5104692_5104694', ['>5104694>5104692']]	">5104694>5104692   NaN
dtype: float64"
['5104692_5104694', ['>5104694>5104693>5104692']]	">5104694>5104693>5104692   NaN
dtype: float64"
['5104694_5104696', ['>5104696>5104694']]	">5104696>5104694   NaN
dtype: float64"
['5104694_5104696', ['>5104696>5104695>5104694']]	">5104696>5104695>5104694   NaN
dtype: float64"
['5104437_5104440', ['>5104440>5104438>5104437']]	">5104440>5104438>5104437   NaN
dtype: float64"
['5104437_5104440', ['>5104440>5104439>5104437']]	">5104440>5104439>5104437   NaN
dtype: float64"
['5104440_5104470', ['<5104440>5104469>*>5104441<5104470']]	"<5104440>5104469>*>5104441<5104470   NaN
dtype: float64"
['5104440_5104470', ['>5104470>5104443>5104440']]	">5104470>5104443>5104440   NaN
dtype: float64"
['5104469_5104466', ['>5104469>5104467>5104466']]	">5104469>5104467>5104466   NaN
dtype: float64"
['5104469_5104466', ['>5104469>5104468>5104466']]	">5104469>5104468>5104466   NaN
dtype: float64"
['5104466_5104463', ['>5104466>5104464>5104463']]	">5104466>5104464>5104463   NaN
dtype: float64"
['5104466_5104463', ['>5104466>5104465>5104463']]	">5104466>5104465>5104463   NaN
dtype: float64"
['5104463_5104460', ['>5104463>5104461>5104460']]	">5104463>5104461>5104460   NaN
dtype: float64"
['5104463_5104460', ['>5104463>5104462>5104460']]	">5104463>5104462>5104460   NaN
dtype: float64"
['5104460_5104457', ['>5104460>5104458>5104457']]	">5104460>5104458>5104457   NaN
dtype: float64"
['5104460_5104457', ['>5104460>5104459>5104457']]	">5104460>5104459>5104457   NaN
dtype: float64"
['5104457_5104454', ['>5104457>5104455>5104454']]	">5104457>5104455>5104454   NaN
dtype: float64"
['5104457_5104454', ['>5104457>5104456>5104454']]	">5104457>5104456>5104454   NaN
dtype: float64"
['5104454_5104451', ['>5104454>5104452>5104451']]	">5104454>5104452>5104451   NaN
dtype: float64"
['5104454_5104451', ['>5104454>5104453>5104451']]	">5104454>5104453>5104451   NaN
dtype: float64"
['5104451_5104448', ['>5104451>5104449>5104448']]	">5104451>5104449>5104448   NaN
dtype: float64"
['5104451_5104448', ['>5104451>5104450>5104448']]	">5104451>5104450>5104448   NaN
dtype: float64"
['5104448_5104445', ['>5104448>5104446>5104445']]	">5104448>5104446>5104445   NaN
dtype: float64"
['5104448_5104445', ['>5104448>5104447>5104445']]	">5104448>5104447>5104445   NaN
dtype: float64"
['5104445_5104441', ['>5104445>5104442>5104441']]	">5104445>5104442>5104441   NaN
dtype: float64"
['5104445_5104441', ['>5104445>5104444>5104441']]	">5104445>5104444>5104441   NaN
dtype: float64"
['5104470_5104474', ['>5104474>5104470']]	">5104474>5104470   NaN
dtype: float64"
['5104470_5104474', ['<5104470>5104473>*>5104471<5104474']]	"<5104470>5104473>*>5104471<5104474   NaN
dtype: float64"
['5104473_5104471', ['>5104473>5104471']]	">5104473>5104471   NaN
dtype: float64"
['5104473_5104471', ['>5104473>5104472>5104471']]	">5104473>5104472>5104471   NaN
dtype: float64"
['5104474_5104477', ['>5104477>5104475>5104474']]	">5104477>5104475>5104474   NaN
dtype: float64"
['5104474_5104477', ['>5104477>5104476>5104474']]	">5104477>5104476>5104474   NaN
dtype: float64"
['5104477_5104480', ['>5104480>5104478>5104477']]	">5104480>5104478>5104477   NaN
dtype: float64"
['5104477_5104480', ['>5104480>5104479>5104477']]	">5104480>5104479>5104477   NaN
dtype: float64"
['5104480_5104483', ['>5104483>5104481>5104480']]	">5104483>5104481>5104480   NaN
dtype: float64"
['5104480_5104483', ['>5104483>5104482>5104480']]	">5104483>5104482>5104480   NaN
dtype: float64"
['5104483_5104486', ['>5104486>5104484>5104483']]	">5104486>5104484>5104483   NaN
dtype: float64"
['5104483_5104486', ['>5104486>5104485>5104483']]	">5104486>5104485>5104483   NaN
dtype: float64"
['5104486_5104489', ['>5104489>5104487>5104486']]	">5104489>5104487>5104486   NaN
dtype: float64"
['5104486_5104489', ['>5104489>5104488>5104486']]	">5104489>5104488>5104486   NaN
dtype: float64"
['5103508_5103505', ['>5103508>5103506>5103505']]	">5103508>5103506>5103505   NaN
dtype: float64"
['5103508_5103505', ['>5103508>5103507>5103505']]	">5103508>5103507>5103505   NaN
dtype: float64"
['5103505_5103503', ['>5103505>5103503']]	">5103505>5103503   NaN
dtype: float64"
['5103505_5103503', ['>5103505>5103504>5103503']]	">5103505>5103504>5103503   NaN
dtype: float64"
['5103503_5103501', ['>5103503>5103501']]	">5103503>5103501   NaN
dtype: float64"
['5103503_5103501', ['>5103503>5103502>5103501']]	">5103503>5103502>5103501   NaN
dtype: float64"
